type	pre-condition	post-condition	confidence	SDC
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""se"" < 1.2000000000000002"	"values whose Sentence-BERT embedding distance to ""se"" > 1.3250000000000002"	0.9882319199955841	(('sbert', 1, 'se', 0.8, 1.2000000000000002), ('sbert', 1.3250000000000002), 1.3016877231461654, 0.011768080004415848, (23, 2903, 106645, 128108))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""new hampshire"" < 1.2000000000000002"	"values whose Sentence-BERT embedding distance to ""new hampshire"" > 1.4000000000000001"	0.9870747414777498	(('sbert', 1, 'new hampshire', 0.8, 1.2000000000000002), ('sbert', 1.4000000000000001), 0.8172913868727119, 0.012925258522250228, (7, 1106, 52011, 184555))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""australia"" < 1.0"	"values whose Sentence-BERT embedding distance to ""australia"" > 1.375"	0.9867914356130623	(('sbert', 1, 'australia', 0.8, 1.0), ('sbert', 1.375), 1.076718625022007, 0.01320856438693777, (0, 287, 62408, 174984))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""australia"" < 1.0"	"values whose Sentence-BERT embedding distance to ""australia"" > 1.35"	0.9867914356130623	(('sbert', 1, 'australia', 0.8, 1.0), ('sbert', 1.35), 1.4373548918580283, 0.01320856438693777, (0, 287, 102904, 134488))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""usa"" < 1.0"	"values whose Sentence-BERT embedding distance to ""usa"" > 1.35"	0.9864656907232766	(('sbert', 1, 'usa', 0.8, 1.0), ('sbert', 1.35), 1.7124794026961372, 0.013534309276723356, (0, 280, 135461, 101938))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""feb"" < 1.2000000000000002"	"values whose Sentence-BERT embedding distance to ""feb"" > 1.35"	0.9856930300595683	(('sbert', 1, 'feb', 0.8, 1.2000000000000002), ('sbert', 1.35), 1.3638836362157158, 0.014306969940431652, (1, 391, 106108, 131179))
Pattern	"99 % of values match pattern ""^[a-zA-Z]+ [\+\-\d\.,]+$"""	"values not matching pattern ""^[a-zA-Z]+ [\+\-\d\.,]+$"""	0.9855626224788891	(('pattern', 1, 'name 3', '^[a-zA-Z]+ [\\+\\-\\d\\.,]+$', 0.99), ('pattern', 0), 3.015143622422547, 0.014437377521110805, (2, 499, 237178, 0))
Embedding	"80 % column values have their Glove embedding distance to ""closed"" < 5.5"	"values whose Glove embedding distance to ""closed"" > 10.5"	0.9847999079412634	(('embed', 1, 'closed', 0.8, 5.5), ('embed', 10.5), 1.6947238886393554, 0.015200092058736639, (3, 573, 149989, 87114))
Embedding	"80 % column values have their Glove embedding distance to ""australia"" < 5.5"	"values whose Glove embedding distance to ""australia"" > 8.0"	0.9843412227692071	(('embed', 1, 'australia', 0.8, 5.5), ('embed', 8.0), 1.765865304965775, 0.015658777230792936, (3, 556, 158290, 78830))
Embedding	"80 % column values have their Glove embedding distance to ""mexico"" < 5.5"	"values whose Glove embedding distance to ""mexico"" > 11.0"	0.9840853603644508	(('embed', 1, 'mexico', 0.8, 5.5), ('embed', 11.0), 1.7311056726957559, 0.015914639635549226, (1, 351, 149967, 87360))
CTA	"80 % column values have their Doduo ""day""-classifier scores >= 4"	"values whose Doduo ""day""-classifier scores <= -1"""	0.983812513078481	(('doduo', 'day', 0.8, 4), ('doduo', -1), 1.7659696223475712, 0.01618748692151894, (1, 345, 154046, 83287))
CTA	"80 % column values have their Doduo ""day""-classifier scores >= 4.5"	"values whose Doduo ""day""-classifier scores <= -1"""	0.9837661263543445	(('doduo', 'day', 0.8, 4.5), ('doduo', -1), 1.765807951927533, 0.01623387364565549, (1, 344, 154046, 83288))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""low"" < 1.2000000000000002"	"values whose Sentence-BERT embedding distance to ""low"" > 1.3"	0.9837268582892339	(('sbert', 1, 'low', 0.8, 1.2000000000000002), ('sbert', 1.3), 1.4459450739010167, 0.01627314171076614, (8, 957, 125159, 111555))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""wa"" < 1.2000000000000002"	"values whose Sentence-BERT embedding distance to ""wa"" > 1.35"	0.9834713095622412	(('sbert', 1, 'wa', 0.8, 1.2000000000000002), ('sbert', 1.35), 1.273139908337121, 0.016528690437758797, (8, 942, 104916, 131813))
Pattern	"99 % of values match pattern ""^[a-zA-Z]+[\+\-\d\.,]+$"""	"values not matching pattern ""^[a-zA-Z]+[\+\-\d\.,]+$"""	0.982978387428911	(('pattern', 1, 'g1', '^[a-zA-Z]+[\\+\\-\\d\\.,]+$', 0.99), ('pattern', 0), 2.911076227877255, 0.017021612571089036, (59, 4402, 233218, 0))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""disagree"" < 1.3"	"values whose Sentence-BERT embedding distance to ""disagree"" > 1.375"	0.9827906266877263	(('sbert', 1, 'disagree', 0.8, 1.3), ('sbert', 1.375), 1.8340153921111069, 0.017209373312273672, (30, 2451, 172278, 62920))
Embedding	"80 % column values have their Glove embedding distance to ""never"" < 4.5"	"values whose Glove embedding distance to ""never"" > 9.0"	0.9825256002503621	(('embed', 1, 'never', 0.8, 4.5), ('embed', 9.0), 1.840028046930471, 0.017474399749637923, (0, 216, 150313, 87150))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""dt"" < 1.2000000000000002"	"values whose Sentence-BERT embedding distance to ""dt"" > 1.3250000000000002"	0.9824177384718209	(('sbert', 1, 'dt', 0.8, 1.2000000000000002), ('sbert', 1.3250000000000002), 1.5421227558178192, 0.017582261528179148, (25, 2067, 140086, 95501))
CTA	"80 % column values have their Doduo ""type""-classifier scores >= 4"	"values whose Doduo ""type""-classifier scores <= -1.5"""	0.9817823639428664	(('doduo', 'type', 0.8, 4), ('doduo', -1.5), 1.9587583774861501, 0.0182176360571335, (1, 306, 175813, 61559))
CTA	"80 % column values have their Doduo ""type""-classifier scores >= 4"	"values whose Doduo ""type""-classifier scores <= -1"""	0.9817823639428664	(('doduo', 'type', 0.8, 4), ('doduo', -1), 2.152380688761091, 0.0182176360571335, (1, 306, 194763, 42609))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""perth"" < 1.1"	"values whose Sentence-BERT embedding distance to ""perth"" > 1.3"	0.9816051974319293	(('sbert', 1, 'perth', 0.8, 1.1), ('sbert', 1.3), 2.3485327243276832, 0.018394802568070728, (0, 205, 202051, 35423))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""perth"" < 1.1"	"values whose Sentence-BERT embedding distance to ""perth"" > 1.3250000000000002"	0.9816051974319293	(('sbert', 1, 'perth', 0.8, 1.1), ('sbert', 1.3250000000000002), 2.0785714400035924, 0.018394802568070728, (0, 205, 176471, 61003))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""feb"" < 1.2000000000000002"	"values whose Sentence-BERT embedding distance to ""feb"" > 1.3250000000000002"	0.9815903069910283	(('sbert', 1, 'feb', 0.8, 1.2000000000000002), ('sbert', 1.3250000000000002), 1.6578213111115214, 0.018409693008971696, (2, 390, 145692, 91595))
Embedding	"80 % column values have their Glove embedding distance to ""saturday"" < 5.5"	"values whose Glove embedding distance to ""saturday"" > 10.0"	0.9815587711367528	(('embed', 1, 'saturday', 0.8, 5.5), ('embed', 10.0), 1.6796665879797597, 0.01844122886324722, (3, 471, 150026, 87179))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""ns"" < 1.2000000000000002"	"values whose Sentence-BERT embedding distance to ""ns"" > 1.3"	0.9812911648831683	(('sbert', 1, 'ns', 0.8, 1.2000000000000002), ('sbert', 1.3), 1.7128453923114695, 0.018708835116831735, (17, 1432, 159625, 76605))
Embedding	"80 % column values have their Glove embedding distance to ""london"" < 5.5"	"values whose Glove embedding distance to ""london"" > 9.0"	0.9811623529546613	(('embed', 1, 'london', 0.8, 5.5), ('embed', 9.0), 1.6965540905304441, 0.018837647045338773, (2, 381, 150342, 86954))
CTA	"80 % column values have their Doduo ""category""-classifier scores >= 4"	"values whose Doduo ""category""-classifier scores <= -1.5"""	0.9810189505297374	(('doduo', 'category', 0.8, 4), ('doduo', -1.5), 1.36696790450442, 0.018981049470262558, (20, 1601, 120246, 115812))
Embedding	"80 % column values have their Glove embedding distance to ""submitted"" < 5.5"	"values whose Glove embedding distance to ""submitted"" > 12.0"	0.9806414102780755	(('embed', 1, 'submitted', 0.8, 5.5), ('embed', 12.0), 1.6323340503586703, 0.019358589721924495, (11, 1001, 149946, 86721))
Embedding	"80 % column values have their Glove embedding distance to ""submitted"" < 5.5"	"values whose Glove embedding distance to ""submitted"" > 11.5"	0.9806414102780755	(('embed', 1, 'submitted', 0.8, 5.5), ('embed', 11.5), 1.6323428197802117, 0.019358589721924495, (11, 1001, 149947, 86720))
Embedding	"80 % column values have their Glove embedding distance to ""review"" < 5.0"	"values whose Glove embedding distance to ""review"" > 7.0"	0.9805968422560194	(('embed', 1, 'review', 0.8, 5.0), ('embed', 7.0), 2.1007049093555876, 0.01940315774398065, (1, 287, 190323, 47068))
Embedding	"80 % column values have their Glove embedding distance to ""review"" < 5.0"	"values whose Glove embedding distance to ""review"" > 11.5"	0.9805968422560194	(('embed', 1, 'review', 0.8, 5.0), ('embed', 11.5), 1.7194053182241922, 0.01940315774398065, (1, 287, 149958, 87433))
Embedding	"80 % column values have their Glove embedding distance to ""review"" < 5.0"	"values whose Glove embedding distance to ""review"" > 8.0"	0.9805968422560194	(('embed', 1, 'review', 0.8, 5.0), ('embed', 8.0), 1.9575278054751757, 0.01940315774398065, (1, 287, 176085, 61306))
CTA	"80 % column values have their Doduo ""description""-classifier scores >= 4"	"values whose Doduo ""description""-classifier scores <= -1.5"""	0.9805824457545834	(('doduo', 'description', 0.8, 4), ('doduo', -1.5), 1.660323626545269, 0.019417554245416534, (0, 194, 129359, 108126))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""usa"" < 1.0"	"values whose Sentence-BERT embedding distance to ""usa"" > 1.3250000000000002"	0.9800502142700694	(('sbert', 1, 'usa', 0.8, 1.0), ('sbert', 1.3250000000000002), 1.8527003334003727, 0.019949785729930544, (1, 279, 165087, 72312))
Embedding	"80 % column values have their Glove embedding distance to ""saturday"" < 5.0"	"values whose Glove embedding distance to ""saturday"" > 7.5"	0.9796926512776477	(('embed', 1, 'saturday', 0.8, 5.0), ('embed', 7.5), 1.927820431348316, 0.020307348722352257, (1, 274, 173274, 64130))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""crystal palace"" < 1.2000000000000002"	"values whose Sentence-BERT embedding distance to ""crystal palace"" > 1.375"	0.9795487261607653	(('sbert', 1, 'crystal palace', 0.8, 1.2000000000000002), ('sbert', 1.375), 1.1539209957654075, 0.020451273839234757, (0, 184, 70666, 166829))
Embedding	"80 % column values have their Glove embedding distance to ""australia"" < 5.5"	"values whose Glove embedding distance to ""australia"" > 7.5"	0.9792340430918484	(('embed', 1, 'australia', 0.8, 5.5), ('embed', 7.5), 1.8130124699888945, 0.020765956908151636, (5, 554, 168162, 68958))
Embedding	"80 % column values have their Glove embedding distance to ""canada"" < 5.0"	"values whose Glove embedding distance to ""canada"" > 9.0"	0.9789351000847876	(('embed', 1, 'canada', 0.8, 5.0), ('embed', 9.0), 1.650147354392545, 0.021064899915212463, (5, 546, 150207, 86921))
Embedding	"80 % column values have their Glove embedding distance to ""no"" < 5.0"	"values whose Glove embedding distance to ""no"" > 12.0"	0.9785097161811094	(('embed', 1, 'no', 0.8, 5.0), ('embed', 12.0), 1.6459771389975333, 0.021490283818890638, (5, 535, 149959, 87180))
Embedding	"80 % column values have their Glove embedding distance to ""no"" < 5.0"	"values whose Glove embedding distance to ""no"" > 10.0"	0.9785097161811094	(('embed', 1, 'no', 0.8, 5.0), ('embed', 10.0), 1.6464756903455338, 0.021490283818890638, (5, 535, 150016, 87123))
Pattern	"99 % of values match pattern ""^[a-zA-Z]+[\+\-\d\.,]+[a-zA-Z]+$"""	"values not matching pattern ""^[a-zA-Z]+[\+\-\d\.,]+[a-zA-Z]+$"""	0.9784963488071423	(('pattern', 1, 'lupgs1-2-3y', '^[a-zA-Z]+[\\+\\-\\d\\.,]+[a-zA-Z]+$', 0.99), ('pattern', 0), 2.98690499250089, 0.02150365119285771, (2, 333, 237344, 0))
CTA	"80 % column values have their Doduo ""team""-classifier scores >= 4.5"	"values whose Doduo ""team""-classifier scores <= -1.5"""	0.9782449213685673	(('doduo', 'team', 0.8, 4.5), ('doduo', -1.5), 1.6783178636153036, 0.021755078631432626, (9, 772, 156005, 80893))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""richard"" < 1.2000000000000002"	"values whose Sentence-BERT embedding distance to ""richard"" > 1.35"	0.9781757647854419	(('sbert', 1, 'richard', 0.8, 1.2000000000000002), ('sbert', 1.35), 1.0553129746870036, 0.021824235214558167, (6, 589, 81894, 155190))
Embedding	"80 % column values have their Glove embedding distance to ""water"" < 6.0"	"values whose Glove embedding distance to ""water"" > 10.0"	0.9779520808024259	(('embed', 1, 'water', 0.8, 6.0), ('embed', 10.0), 1.6528021156083068, 0.022047919197574053, (4, 458, 150059, 87158))
Embedding	"80 % column values have their Glove embedding distance to ""water"" < 6.0"	"values whose Glove embedding distance to ""water"" > 10.5"	0.9779520808024259	(('embed', 1, 'water', 0.8, 6.0), ('embed', 10.5), 1.6522512787071606, 0.022047919197574053, (4, 458, 149996, 87221))
Embedding	"80 % column values have their Glove embedding distance to ""open"" < 5.5"	"values whose Glove embedding distance to ""open"" > 10.5"	0.9777811129841357	(('embed', 1, 'open', 0.8, 5.5), ('embed', 10.5), 1.616719651772635, 0.022218887015864264, (11, 870, 149965, 86833))
Embedding	"80 % column values have their Glove embedding distance to ""ce"" < 6.5"	"values whose Glove embedding distance to ""ce"" > 10.5"	0.9776633054185931	(('embed', 1, 'ce', 0.8, 6.5), ('embed', 10.5), 1.6079107091661846, 0.022336694581406878, (15, 1087, 149952, 86625))
Embedding	"80 % column values have their Glove embedding distance to ""london"" < 5.5"	"values whose Glove embedding distance to ""london"" > 7.5"	0.9772264442691236	(('embed', 1, 'london', 0.8, 5.5), ('embed', 7.5), 1.8330740005539226, 0.022773555730876305, (3, 380, 169133, 68163))
Pattern	"99 % of values match pattern ""^[\+\-\d\.,]+ [a-zA-Z]+$"""	"values not matching pattern ""^[\+\-\d\.,]+ [a-zA-Z]+$"""	0.9771117529861488	(('pattern', 1, '48 l', '^[\\+\\-\\d\\.,]+ [a-zA-Z]+$', 0.99), ('pattern', 0), 3.141592653589793, 0.022888247013851153, (0, 164, 237515, 0))
Embedding	"80 % column values have their Glove embedding distance to ""pending"" < 5.5"	"values whose Glove embedding distance to ""pending"" > 9.5"	0.976741197274508	(('embed', 1, 'pending', 0.8, 5.5), ('embed', 9.5), 1.6321547248338877, 0.023258802725492002, (6, 552, 150084, 87037))
Embedding	"80 % column values have their Glove embedding distance to ""pending"" < 5.5"	"values whose Glove embedding distance to ""pending"" > 8.5"	0.976741197274508	(('embed', 1, 'pending', 0.8, 5.5), ('embed', 8.5), 1.6593571728776169, 0.023258802725492002, (6, 552, 153181, 83940))
CTA	"80 % column values have their Doduo ""status""-classifier scores >= 4"	"values whose Doduo ""status""-classifier scores <= -1.5"""	0.9766952031526023	(('doduo', 'status', 0.8, 4), ('doduo', -1.5), 2.130924123876938, 0.023304796847397745, (0, 161, 181855, 55663))
CTA	"80 % column values have their Doduo ""status""-classifier scores >= 4"	"values whose Doduo ""status""-classifier scores <= -1"""	0.9766952031526023	(('doduo', 'status', 0.8, 4), ('doduo', -1), 2.385931821168731, 0.023304796847397745, (0, 161, 205194, 32324))
Function	"99 % of values return True on function ""validate_date"" in Dataprep"	"values that return False on function ""validate_date"" in Dataprep"	0.9762758995469905	(('pyfunc', 'date', 0.99), ('pyfunc', 'date'), 1.1001043332133587, 0.02372410045300953, (18, 1175, 91931, 144555))
Embedding	"80 % column values have their Glove embedding distance to ""disagree"" < 5.5"	"values whose Glove embedding distance to ""disagree"" > 7.0"	0.9761938735442532	(('embed', 1, 'disagree', 0.8, 5.5), ('embed', 7.0), 2.440566601925514, 0.023806126455746764, (1, 233, 218663, 18782))
Embedding	"80 % column values have their Glove embedding distance to ""february"" < 5.0"	"values whose Glove embedding distance to ""february"" > 10.0"	0.9761938735442532	(('embed', 1, 'february', 0.8, 5.0), ('embed', 10.0), 1.7068793207963473, 0.023806126455746764, (1, 233, 150037, 87408))
Embedding	"80 % column values have their Glove embedding distance to ""february"" < 5.0"	"values whose Glove embedding distance to ""february"" > 12.0"	0.9761938735442532	(('embed', 1, 'february', 0.8, 5.0), ('embed', 12.0), 1.706180808958493, 0.023806126455746764, (1, 233, 149957, 87488))
Embedding	"80 % column values have their Glove embedding distance to ""white"" < 5.5"	"values whose Glove embedding distance to ""white"" > 10.0"	0.976100500303561	(('embed', 1, 'white', 0.8, 5.5), ('embed', 10.0), 1.674720375625087, 0.023899499696439, (2, 299, 150019, 87359))
Embedding	"80 % column values have their Glove embedding distance to ""spring"" < 5.0"	"values whose Glove embedding distance to ""spring"" > 12.0"	0.9760517764499416	(('embed', 1, 'spring', 0.8, 5.0), ('embed', 12.0), 1.6558906425158764, 0.023948223550058434, (3, 361, 149954, 87361))
Embedding	"80 % column values have their Glove embedding distance to ""january"" < 5.0"	"values whose Glove embedding distance to ""january"" > 10.5"	0.9759921006641432	(('embed', 1, 'january', 0.8, 5.0), ('embed', 10.5), 1.70598165742306, 0.024007899335856776, (1, 231, 150000, 87447))
Embedding	"80 % column values have their Glove embedding distance to ""january"" < 5.0"	"values whose Glove embedding distance to ""january"" > 11.5"	0.9759921006641432	(('embed', 1, 'january', 0.8, 5.0), ('embed', 11.5), 1.705676072556226, 0.024007899335856776, (1, 231, 149965, 87482))
Embedding	"80 % column values have their Glove embedding distance to ""withdrawn"" < 5.0"	"values whose Glove embedding distance to ""withdrawn"" > 10.5"	0.9756601695808071	(('embed', 1, 'withdrawn', 0.8, 5.0), ('embed', 10.5), 1.6261494625012687, 0.024339830419192833, (6, 527, 149966, 87180))
Embedding	"80 % column values have their Glove embedding distance to ""unknown"" < 5.0"	"values whose Glove embedding distance to ""unknown"" > 7.0"	0.9752907967390576	(('embed', 1, 'unknown', 0.8, 5.0), ('embed', 7.0), 1.9994747004435034, 0.024709203260942413, (2, 289, 185191, 52197))
Embedding	"80 % column values have their Glove embedding distance to ""india"" < 5.5"	"values whose Glove embedding distance to ""india"" > 9.5"	0.9747057890676404	(('embed', 1, 'india', 0.8, 5.5), ('embed', 9.5), 1.7050379382387855, 0.02529421093235966, (1, 219, 150305, 87154))
Embedding	"80 % column values have their Glove embedding distance to ""current"" < 5.0"	"values whose Glove embedding distance to ""current"" > 10.5"	0.9747034107859275	(('embed', 1, 'current', 0.8, 5.0), ('embed', 10.5), 1.5888454292184586, 0.02529658921407247, (17, 1053, 149953, 86656))
Embedding	"80 % column values have their Glove embedding distance to ""current"" < 5.0"	"values whose Glove embedding distance to ""current"" > 8.5"	0.9747034107859275	(('embed', 1, 'current', 0.8, 5.0), ('embed', 8.5), 1.5927600990708006, 0.02529658921407247, (17, 1053, 150399, 86210))
Embedding	"80 % column values have their Glove embedding distance to ""low"" < 5.0"	"values whose Glove embedding distance to ""low"" > 7.5"	0.9745322245322245	(('embed', 1, 'low', 0.8, 5.0), ('embed', 7.5), 1.9524221467105412, 0.025467775467775466, (0, 147, 162998, 74534))
Pattern	"98 % of values match pattern ""^[a-zA-Z]+ [\+\-\d\.,]+$"""	"values not matching pattern ""^[a-zA-Z]+ [\+\-\d\.,]+$"""	0.9743235705552126	(('pattern', 1, 'product 16', '^[a-zA-Z]+ [\\+\\-\\d\\.,]+$', 0.98), ('pattern', 0), 2.9231569166669953, 0.02567642944478746, (6, 499, 237174, 0))
Embedding	"80 % column values have their Glove embedding distance to ""never"" < 4.5"	"values whose Glove embedding distance to ""never"" > 7.5"	0.9742458312701834	(('embed', 1, 'never', 0.8, 4.5), ('embed', 7.5), 2.0222376126077233, 0.025754168729816635, (1, 215, 184555, 52908))
Embedding	"80 % column values have their Sentence-BERT embedding distance to ""feb"" < 1.2000000000000002"	"values whose Sentence-BERT embedding distance to ""feb"" > 1.3"	0.9740600624946554	(('sbert', 1, 'feb', 0.8, 1.2000000000000002), ('sbert', 1.3), 1.9165734535693284, 0.025939937505344627, (4, 388, 180470, 56817))
CTA	"80 % column values have their Doduo ""description""-classifier scores >= 4.5"	"values whose Doduo ""description""-classifier scores <= -1"""	0.974015432733412	(('doduo', 'description', 0.8, 4.5), ('doduo', -1), 1.9811146128504074, 0.025984567266588023, (0, 144, 166144, 71391))
Embedding	"80 % column values have their Glove embedding distance to ""event"" < 5.5"	"values whose Glove embedding distance to ""event"" > 10.5"	0.9739678643011971	(('embed', 1, 'event', 0.8, 5.5), ('embed', 10.5), 1.6670192856103963, 0.02603213569880286, (2, 274, 149983, 87420))
